Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Florida,4-7,4.8 (0.8),35.2%,-2.2,86,23.7,108,26.5,15
California,5-7,5.1 (0.1),33.3%,-2.6,87,26.6,84,29.3,57
Syracuse,4-8,3.8 (-0.2),33.1%,-2.7,88,28.6,64,31.9,6
Tulane,5-7,5.0 (0.0),32.3%,-2.8,89,29.9,47,33.2,37
Florida International,8-5,6.5 (-1.5),31.3%,-3.1,90,27.4,75,30.8,43
Arkansas,4-8,4.7 (0.7),31.0%,-3.1,91,30.4,43,33.4,75
Kentucky,7-6,5.2 (-1.8),30.9%,-3.2,92,28.0,69,31.8,19
Colorado,5-7,4.8 (-0.2),30.6%,-3.2,93,28.0,70,31.9,12
North Carolina,3-9,3.7 (0.7),29.2%,-3.6,94,26.7,83,30.7,33
UNLV,5-7,5.1 (0.1),26.0%,-4.4,95,29.8,49,33.7,101
Georgia State,7-5,5.7 (-1.3),25.1%,-4.6,96,23.0,110,26.9,126
Minnesota,5-7,5.2 (0.2),24.6%,-4.8,97,20.6,120,24.8,110
South Alabama,4-8,4.4 (0.4),24.3%,-4.8,98,22.2,112,27.5,27
Idaho,4-8,5.1 (1.1),23.2%,-5.1,99,22.3,111,27.1,94
Air Force,5-7,3.3 (-1.7),22.5%,-5.3,100,29.5,54,35.2,42
BYU,4-9,5.3 (1.3),22.4%,-5.4,101,19.6,121,24.8,78
Cincinnati,4-8,4.3 (0.3),21.0%,-5.8,102,24.9,100,30.1,111
Nebraska,4-8,3.9 (-0.1),20.4%,-5.9,103,27.0,81,33.2,46
New Mexico,3-9,4.5 (1.5),20.0%,-6.1,104,24.2,105,30.7,30
UL-Monroe,4-8,3.9 (-0.1),18.9%,-6.4,105,34.9,17,41.4,55
Baylor,1-11,3.1 (2.1),18.5%,-6.5,106,26.4,86,33.2,45
Tennessee,4-8,4.1 (0.1),17.4%,-6.9,107,20.9,118,28.3,26
Bowling Green,2-10,3.5 (1.5),16.3%,-7.3,108,28.4,67,36.2,20
Nevada,3-9,4.0 (1.0),16.2%,-7.3,109,28.8,59,35.7,97
Rutgers,4-8,3.8 (-0.2),15.8%,-7.4,110,18.5,126,26.0,62
Coastal Carolina,3-9,4.0 (1.0),14.4%,-7.9,111,25.3,97,33.0,84
Akron,7-7,4.8 (-2.2),12.8%,-8.5,112,21.8,114,29.7,122
UL-Lafayette,5-7,4.0 (-1.0),12.7%,-8.6,113,29.9,46,38.3,81
Maryland,4-8,3.9 (-0.1),12.2%,-8.8,114,22.1,113,30.1,130
Old Dominion,5-7,4.0 (-1.0),10.1%,-9.7,115,19.5,122,29.0,80
Tulsa,2-10,2.5 (0.5),9.6%,-10.0,116,29.7,51,39.5,76
Texas State,2-10,2.6 (0.6),9.4%,-10.1,117,21.7,115,31.2,108
Illinois,2-10,2.2 (0.2),7.6%,-11.0,118,18.9,124,30.3,34
Connecticut,3-9,2.6 (-0.4),7.0%,-11.4,119,27.4,74,38.4,102
Georgia Southern,2-10,2.3 (0.3),6.8%,-11.5,120,18.7,125,30.8,21
Hawaii,3-9,3.2 (0.2),6.5%,-11.7,121,25.9,89,36.8,129
Ball State,2-10,2.7 (0.7),4.3%,-13.5,122,21.5,117,34.2,124
East Carolina,3-9,2.5 (-0.5),3.8%,-13.9,123,29.3,56,43.5,48
Charlotte,1-11,1.2 (0.2),3.1%,-14.7,124,19.2,123,33.2,121
Kansas,1-11,1.9 (0.9),3.0%,-14.8,125,17.9,127,32.8,54
Kent State,2-10,2.3 (0.3),2.9%,-15.0,126,16.0,129,30.3,120
Oregon State,1-11,1.8 (0.8),2.8%,-15.1,127,24.5,103,39.0,113
Rice,1-11,2.3 (1.3),2.8%,-15.1,128,21.7,116,36.1,117
San Jose State,2-11,2.1 (0.1),2.0%,-16.2,129,17.8,128,34.8,4
UTEP,0-12,0.7 (0.7),1.0%,-18.6,130,14.9,130,32.9,112
