Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Stanford,10-3,8.2 (-1.8),81.2%,11.1,23,30.3,60,20.8,3
Texas A&amp;M,8-5,8.8 (0.8),80.6%,10.8,24,35.6,30,25.7,32
NC State,7-6,8.5 (1.5),80.1%,10.6,25,31.5,55,19.5,116
Notre Dame,4-8,7.2 (3.2),79.8%,10.5,26,34.4,36,23.5,80
Ole Miss,5-7,6.0 (1.0),77.9%,9.7,27,38.7,14,30.1,21
Tennessee,9-4,8.0 (-1.0),77.6%,9.6,28,36.2,28,27.9,17
West Virginia,10-3,7.9 (-2.1),76.3%,9.1,29,36.3,27,25.9,112
Iowa,8-5,8.0 (0.0),73.0%,8.0,30,27.6,78,19.8,59
Kansas State,9-4,7.2 (-1.8),72.3%,7.7,31,33.1,43,26.4,26
Temple,10-4,10.7 (0.7),71.4%,7.5,32,27.4,79,20.2,62
San Diego State,11-3,9.9 (-1.1),71.4%,7.5,33,28.8,70,22.8,10
Toledo,9-4,10.5 (1.5),71.1%,7.3,34,38.1,16,29.9,95
Western Michigan,13-1,11.7 (-1.3),71.1%,7.3,35,36.6,25,29.7,47
Texas,5-7,6.8 (1.8),71.1%,7.3,36,35.7,29,28.4,68
BYU,9-4,9.1 (0.1),70.6%,7.2,37,29.5,64,23.5,20
Colorado State,7-6,8.1 (1.1),70.3%,7.1,38,37.4,21,31.4,24
Houston,9-4,8.8 (-0.2),70.0%,7.0,39,28.9,69,22.8,29
Appalachian State,10-3,9.4 (-0.6),69.3%,6.8,40,30.3,59,23.3,75
Washington State,8-5,7.6 (-0.4),67.7%,6.2,41,36.8,24,29.1,122
Minnesota,9-4,8.7 (-0.3),67.4%,6.2,42,26.9,84,22.3,5
Utah,9-4,7.5 (-1.5),67.0%,6.0,43,30.5,57,25.9,8
Memphis,8-5,7.1 (-0.9),66.6%,5.9,44,34.3,37,30.0,1
Georgia Tech,9-4,7.4 (-1.6),66.3%,5.8,45,33.0,44,28.3,22
Nebraska,9-4,7.9 (-1.1),65.4%,5.5,46,28.9,68,24.1,36
TCU,6-7,7.4 (1.4),64.4%,5.2,47,32.8,45,27.5,71
Arkansas,7-6,5.6 (-1.4),64.4%,5.2,48,33.9,39,29.1,42
Northwestern,7-6,6.6 (-0.4),62.2%,4.6,49,29.8,63,24.0,109
Baylor,7-6,7.8 (0.8),62.2%,4.6,50,34.1,38,28.3,110
California,5-7,5.7 (0.7),61.6%,4.4,51,40.1,7,36.0,52
Navy,9-5,7.2 (-1.8),61.5%,4.4,52,37.9,17,34.4,31
Indiana,6-7,7.7 (1.7),61.4%,4.3,53,29.2,67,23.9,99
Tulsa,10-3,9.7 (-0.3),61.1%,4.3,54,34.4,35,30.5,49
South Florida,11-2,9.6 (-1.4),59.0%,3.6,55,39.7,8,36.4,55
Mississippi State,6-7,6.6 (0.6),58.4%,3.5,56,34.7,31,30.1,104
Michigan State,3-9,5.0 (2.0),58.3%,3.4,57,29.3,66,26.3,46
UCLA,4-8,5.9 (1.9),56.1%,2.8,58,27.0,82,23.2,98
Louisiana Tech,9-5,9.6 (0.6),56.0%,2.8,59,39.2,11,36.5,63
Wake Forest,7-6,5.8 (-1.2),52.3%,1.7,60,22.9,110,22.0,33
Wyoming,8-6,7.3 (-0.7),51.2%,1.4,61,34.6,33,33.4,64
Air Force,10-3,8.4 (-1.6),50.4%,1.2,62,31.6,52,31.6,23
Troy,10-3,9.1 (-0.9),49.5%,0.9,63,27.4,80,26.9,45
Iowa State,3-9,4.2 (1.2),48.9%,0.8,64,32.4,48,33.1,6
Oregon State,4-8,5.2 (1.2),47.4%,0.4,65,28.3,73,27.3,88
Texas Tech,5-7,5.3 (0.3),47.4%,0.3,66,40.3,6,40.0,67
Kentucky,7-6,6.7 (-0.3),46.4%,0.1,67,31.6,53,31.6,66
Georgia,8-5,7.8 (-0.2),45.6%,-0.2,68,25.3,93,24.5,97
Missouri,4-8,5.2 (1.2),45.6%,-0.2,69,33.1,42,32.5,96
Utah State,3-9,4.8 (1.8),44.9%,-0.4,70,27.8,76,27.0,108
Vanderbilt,6-7,4.5 (-1.5),44.3%,-0.5,71,25.8,90,26.2,70
Duke,4-8,3.6 (-0.4),42.4%,-1.1,72,27.6,77,27.2,119
Old Dominion,10-3,9.6 (-0.4),42.1%,-1.2,73,29.8,62,31.2,56
Oregon,4-8,5.2 (1.2),41.8%,-1.2,74,37.8,20,38.7,78
Central Florida,6-7,6.0 (0.0),40.2%,-1.7,75,20.5,117,23.6,13
Syracuse,4-8,3.5 (-0.5),39.8%,-1.8,76,31.5,54,32.7,86
Northern Illinois,5-7,5.9 (0.9),38.2%,-2.3,77,32.1,50,33.1,115
Southern Miss,7-6,6.9 (-0.1),34.1%,-3.5,78,27.0,83,31.6,27
South Carolina,6-7,5.3 (-0.7),33.8%,-3.6,79,23.1,107,27.5,37
Arkansas State,8-5,9.1 (1.1),33.7%,-3.7,80,22.2,113,24.5,120
New Mexico,9-4,7.5 (-1.5),32.4%,-4.1,81,33.8,40,39.0,25
Eastern Michigan,7-6,6.4 (-0.6),31.6%,-4.3,82,30.5,58,34.9,65
Arizona State,5-7,3.6 (-1.4),30.9%,-4.5,83,30.8,56,36.9,4
Ball State,4-8,5.6 (1.6),28.8%,-5.2,84,29.4,65,34.5,72
Cincinnati,4-8,4.7 (0.7),28.8%,-5.2,85,23.3,105,27.8,92
Boston College,7-6,5.9 (-1.1),28.5%,-5.3,86,17.2,124,21.8,90
Maryland,6-7,5.9 (-0.1),28.2%,-5.4,87,26.3,86,30.7,102
Virginia,2-10,4.0 (2.0),28.1%,-5.5,88,25.8,89,30.5,89
Idaho,9-4,6.7 (-2.3),28.0%,-5.5,89,27.2,81,34.0,18
SMU,5-7,4.6 (-0.4),27.4%,-5.7,90,28.5,72,32.7,126
Georgia Southern,5-7,5.0 (0.0),27.3%,-5.7,91,23.9,101,30.5,30
Ohio,8-6,8.3 (0.3),26.9%,-5.9,92,21.6,115,28.7,16
South Alabama,6-7,6.1 (0.1),26.4%,-6.0,93,25.0,95,30.0,105
Middle Tennessee,8-5,7.9 (-0.1),25.9%,-6.2,94,32.5,46,38.6,69
Illinois,3-9,3.3 (0.3),25.5%,-6.3,95,21.8,114,28.3,60
Arizona,3-9,3.6 (0.6),24.9%,-6.6,96,30.1,61,35.4,114
Hawaii,7-7,6.7 (-0.3),24.7%,-6.6,97,28.0,74,36.1,7
Miami-OH,6-7,6.9 (0.9),23.3%,-7.1,98,23.8,102,30.2,91
Central Michigan,6-7,5.2 (-0.8),22.9%,-7.3,99,26.7,85,32.5,124
East Carolina,3-9,3.6 (0.6),22.0%,-7.6,100,28.7,71,35.3,101
Army,8-5,8.2 (0.2),21.1%,-8.0,101,23.0,109,29.3,128
UL-Lafayette,6-7,6.0 (0.0),19.9%,-8.4,102,20.4,118,29.6,35
UTSA,6-7,6.3 (0.3),19.8%,-8.5,103,24.4,99,32.6,77
Kansas,2-10,2.3 (0.3),17.9%,-9.3,104,23.0,108,31.5,94
Purdue,3-9,3.0 (0.0),17.6%,-9.4,105,25.1,94,34.0,83
Tulane,4-8,5.0 (1.0),17.5%,-9.4,106,19.0,121,27.1,117
North Texas,5-8,5.2 (0.2),17.0%,-9.6,107,22.7,111,33.1,34
Georgia State,3-9,4.4 (1.4),16.5%,-9.9,108,19.5,120,27.8,127
Akron,5-7,4.8 (-0.2),13.6%,-11.3,109,24.4,98,36.0,53
UNLV,4-8,5.2 (1.2),13.2%,-11.5,110,26.2,87,37.2,84
Bowling Green,4-8,3.7 (-0.3),13.2%,-11.5,111,25.3,92,37.1,57
San Jose State,4-8,3.4 (-0.6),13.1%,-11.6,112,24.2,100,36.5,38
Kent State,3-9,4.1 (1.1),12.1%,-12.1,113,18.1,122,29.2,100
Rutgers,2-10,2.0 (0.0),10.9%,-12.8,114,16.8,125,28.2,123
Florida Atlantic,3-9,4.1 (1.1),10.6%,-13.0,115,27.9,75,41.5,40
Fresno State,1-11,2.3 (1.3),10.2%,-13.2,116,17.8,123,31.6,41
Massachusetts,2-10,3.1 (1.1),9.9%,-13.4,117,23.3,106,35.2,125
Marshall,3-9,3.3 (0.3),9.6%,-13.6,118,21.6,116,33.9,111
New Mexico State,3-9,2.6 (-0.4),9.1%,-14.0,119,25.7,91,38.9,93
Florida International,4-8,3.1 (-0.9),8.6%,-14.3,120,24.7,96,37.7,118
Rice,3-9,3.9 (0.9),7.5%,-15.1,121,24.7,97,39.1,87
UTEP,4-8,4.1 (0.1),5.8%,-16.6,122,23.4,104,39.6,79
Connecticut,3-9,2.8 (-0.2),5.6%,-16.8,123,15.9,127,32.3,82
Nevada,5-7,4.5 (-0.5),5.3%,-17.2,124,23.6,103,39.7,106
Charlotte,4-8,3.8 (-0.2),5.1%,-17.3,125,20.0,119,36.1,113
UL-Monroe,4-8,3.9 (-0.1),4.6%,-17.9,126,22.6,112,40.3,74
Buffalo,2-10,2.3 (0.3),2.3%,-21.5,127,16.4,126,36.4,121
Texas State,2-10,1.6 (-0.4),0.5%,-27.8,128,14.5,128,41.1,107
